cohort_decade,round,survey_year,pl1_share,se,V_W,V_B,n_obs
1950,1,2014,0.22482398859496097,0.009228641427477072,1.2420140697947344e-6,7.629618957013753e-5,1203
1960,1,2014,0.20566533264600811,0.007905890192945821,2.073582184317784e-6,5.493592505327193e-5,1273
1960,2,2023,0.31509663139430166,0.013235103281741345,8.277019498812307e-5,8.399796717294314e-5,939
1970,1,2014,0.15782934953468625,0.007994030959175218,1.5286583740824297e-6,5.670533872924492e-5,1226
1970,2,2023,0.28099664052965445,0.013940221961126282,1.1091162790831236e-4,7.583469128832282e-5,664
1980,1,2014,0.12681924286940738,0.005466257580601803,1.244881934278412e-6,2.6031900002916606e-5,2051
1980,2,2023,0.25293582603860243,0.015493145034867392,1.2173081379779645e-4,1.0755157206694513e-4,799
1990,1,2014,0.1376256700115619,0.005749788712208628,1.0369415241036133e-6,2.9111935191761948e-5,2002
1990,2,2023,0.23890802292921445,0.011093039786549243,8.22366458513065e-5,3.7108078049689085e-5,765
2000,2,2023,0.24098974080092633,0.014327221302350436,7.871985936933103e-5,1.1504491897926644e-4,591
