round,AGEG10LFS,pop,literacy,numeracy,cycle,age_band
1,1,106353554.94941562,0.12586866561304477,0.21663908915270735,Cycle 1,16-24
1,2,126451552.30659793,0.12325910175330186,0.1759646050162379,Cycle 1,25-34
1,3,135807494.93822935,0.14765645353292597,0.19824117717060588,Cycle 1,35-44
1,4,135568261.89439034,0.20115369543297074,0.25884406439567886,Cycle 1,45-54
1,5,130338482.06788976,0.2534714296341127,0.30470583043276284,Cycle 1,55-65
2,1,102033088.16155748,0.1857979151135173,0.23603712884550038,Cycle 2,16-24
2,2,121835634.75243583,0.19052791350305617,0.22019282604695672,Cycle 2,25-34
2,3,130266353.9459006,0.2221787846046265,0.2379331327240171,Cycle 2,35-44
2,4,133063240.97446384,0.264643594046445,0.27361207444980684,Cycle 2,45-54
2,5,141670631.4346554,0.3461099834917994,0.3394761018353763,Cycle 2,55-65
