country,subject,cohort_label,pisa_year,birth_window,piaac_year,piaac_age_band,age_at_piaac,pisa_mean,piaac_mean,pisa_se,piaac_se,n_pisa,n_piaac
CHL,Literacy,PISA 2000,2000,1983-1987,2014,25-34,29,409.55678202563695,233.46248968277015,3.585739659213902,1.2307135138910168,4889,561
CHL,Literacy,PISA 2000,2000,1983-1987,2023,other,38,409.55678202563695,219.30037269062743,3.585739659213902,2.099495091075617,4889,500
CHL,Literacy,PISA 2006,2006,1989-1993,2014,16-24,23,442.09134588483414,239.20958014166482,4.992650462720866,1.122609371113168,5233,637
CHL,Literacy,PISA 2006,2006,1989-1993,2023,25-34,32,442.09134588483414,232.21186384101279,4.992650462720866,1.8003209362025112,5233,605
CHL,Literacy,PISA 2009,2009,1992-1996,2014,16-24,20,449.3696068175006,238.75077505316062,3.1254740977425537,1.0242332626328352,5669,595
CHL,Literacy,PISA 2009,2009,1992-1996,2023,25-34,29,449.3696068175006,241.00497371183482,3.1254740977425537,1.5300628623744867,5669,545
CHL,Literacy,PISA 2012,2012,1995-1999,2014,16-24,17,441.3981633890751,234.89632143010854,2.9021027690354297,1.4926337955020939,6856,422
CHL,Literacy,PISA 2012,2012,1995-1999,2023,25-34,26,441.3981633890751,243.96396728515995,2.9021027690354297,1.4319570410808142,6856,533
CHL,Literacy,PISA 2015,2015,1998-2002,2023,16-24,23,458.5708760822164,241.8469422042612,2.5848778160980843,1.9112860054614715,7053,502
CHL,Literacy,PISA 2018,2018,2001-2005,2023,16-24,20,452.27255409198216,241.42990927288432,2.6437662224560827,1.9521441467481802,7621,434
CHL,Numeracy,PISA 2000,2000,1983-1987,2014,25-34,29,383.5127488373557,217.25450075822206,3.68340697031847,1.6749393284353238,4889,561
CHL,Numeracy,PISA 2000,2000,1983-1987,2023,other,38,383.5127488373557,213.62589090551137,3.68340697031847,2.3125826184986145,4889,500
CHL,Numeracy,PISA 2006,2006,1989-1993,2014,16-24,23,411.35033860708177,224.2187327419868,4.58135980536255,1.92189819030214,5233,637
CHL,Numeracy,PISA 2006,2006,1989-1993,2023,25-34,32,411.35033860708177,232.30138370954944,4.58135980536255,2.0700616669109295,5233,605
CHL,Numeracy,PISA 2009,2009,1992-1996,2014,16-24,20,421.06047296124206,223.00551012276858,3.0593922354612837,1.6447723640125016,5669,595
CHL,Numeracy,PISA 2009,2009,1992-1996,2023,25-34,29,421.06047296124206,238.93247492854073,3.0593922354612837,1.3811112119268916,5669,545
CHL,Numeracy,PISA 2012,2012,1995-1999,2014,16-24,17,422.6323554520202,215.76238927772906,3.0672575011020284,1.7465654141242037,6856,422
CHL,Numeracy,PISA 2012,2012,1995-1999,2023,25-34,26,422.6323554520202,239.6261234740791,3.0672575011020284,1.6526369981523041,6856,533
CHL,Numeracy,PISA 2015,2015,1998-2002,2023,16-24,23,422.6713579729065,235.8293750423136,2.539462795250237,1.594035791369411,7053,502
CHL,Numeracy,PISA 2018,2018,2001-2005,2023,16-24,20,417.40655623356605,232.34185913786038,2.4158875647102427,2.1829130029976525,7621,434
