cohort_decade,round,survey_year,pl1_share,se,V_W,V_B,n_obs
1940,1,2014,0.6804610634666872,0.04539582527568649,7.685277983943848e-5,0.0018035710660192887,84
1950,1,2014,0.7381412376400498,0.011685786200477624,8.911765384936482e-6,1.1604166703485162e-4,864
1950,2,2023,0.8257318855855155,0.017489804163890697,2.1652764050561756e-4,8.124146289602799e-5,207
1960,1,2014,0.64565309101666,0.009752589181352104,8.117656689017296e-6,7.908667186473528e-5,1062
1960,2,2023,0.8025291968713709,0.016664207511553016,7.83958009392052e-5,1.8118182822626794e-4,861
1970,1,2014,0.5279409514230351,0.011049072085765256,9.75051102523126e-6,1.0211952993745975e-4,963
1970,2,2023,0.6186555582182336,0.014907846955546002,1.2154634529999842e-4,9.154323231816706e-5,845
1980,1,2014,0.41642814785051885,0.015883335209304853,1.126009695797818e-5,2.1910930946651363e-4,1163
1980,2,2023,0.507381282397347,0.015340478979593926,1.4982731150737738e-4,7.772998528725974e-5,1029
1990,1,2014,0.3787267211179125,0.0132492402188583,8.118807490449935e-6,1.5220323535142038e-4,1056
1990,2,2023,0.36425706593577944,0.01315288254719039,7.717615076538612e-5,8.711106230436314e-5,1106
2000,2,2023,0.32299236336462034,0.01879895352153583,1.5005142040884763e-4,1.8486293917819696e-4,678
