country,subject,pisa_year,pisa_mean,pisa_se,n_pisa,piaac_mean,piaac_se,n_piaac,design,country_group
BEL,Literacy,2018,492.86443860383673,2.321973322555881,8475,283.33154718093476,4.674600255810091,83,Exact-age 20,Other countries
CHL,Literacy,2018,452.27255409198216,2.6437662224560827,7621,252.97652784139785,3.4707967336595957,99,Exact-age 20,Chile
CZE,Literacy,2018,490.2188150263704,2.5478509475994575,7019,285.9225757145487,3.3222096415665603,102,Exact-age 20,Other countries
ESP,Literacy,2018,476.5374416358191,1.5795105322606116,35943,260.87222077297184,4.002750919592338,85,Exact-age 20,Other countries
FIN,Literacy,2018,520.0787483166843,2.307101994485495,5649,321.9647783258218,5.71273217475982,48,Exact-age 20,Other countries
GBR,Literacy,2018,503.9281092060545,2.5825911706247995,13818,285.7728011436947,5.828480450096432,54,Exact-age 20,Other countries
IRL,Literacy,2018,518.0784591193941,2.2444778003887893,5577,282.7190799107955,5.201398693818294,49,Exact-age 20,Other countries
ISR,Literacy,2018,470.41517797925883,3.670985340669069,6623,251.2407362812221,4.683920733090508,158,Exact-age 20,Other countries
ITA,Literacy,2018,476.2846796926638,2.4389103254626896,11785,271.14136714126005,4.067695851697893,128,Exact-age 20,Other countries
LTU,Literacy,2018,475.87347960821717,1.5182764468579313,6885,263.3348750709198,7.617775822532797,59,Exact-age 20,Other countries
POL,Literacy,2018,511.85569535773743,2.7024579790266285,5625,255.76755317059738,4.838002929981309,87,Exact-age 20,Other countries
SVK,Literacy,2018,457.9839670407436,2.234129167776913,5965,249.01594594624828,3.908373869199193,98,Exact-age 20,Other countries
BEL,Numeracy,2018,508.07030635646555,2.2626619794679996,8475,291.72620765391554,5.138821601379017,83,Exact-age 20,Other countries
CHL,Numeracy,2018,417.40655623356605,2.4158875647102427,7621,240.35425286093755,2.7056959401699205,99,Exact-age 20,Chile
CZE,Numeracy,2018,499.4676509062439,2.460661451201571,7019,293.69438862849387,3.3924680522903445,102,Exact-age 20,Other countries
ESP,Numeracy,2018,481.39261267544606,1.4624177600311083,35943,258.6225940739609,4.159836044528305,85,Exact-age 20,Other countries
FIN,Numeracy,2018,507.3013618181396,1.967920422650986,5649,315.32365942230746,5.239190741478465,48,Exact-age 20,Other countries
GBR,Numeracy,2018,501.76989911393133,2.564427936286872,13818,277.31302944492745,5.356492659204196,54,Exact-age 20,Other countries
IRL,Numeracy,2018,499.63289403766834,2.198621074139114,5577,276.92466548151356,6.832441320904007,49,Exact-age 20,Other countries
ISR,Numeracy,2018,463.03454892046875,3.4985632467067975,6623,245.70214661340526,4.622936100458728,158,Exact-age 20,Other countries
ITA,Numeracy,2018,486.5898580129064,2.7800460370548734,11785,258.68564880966574,4.324513267395515,128,Exact-age 20,Other countries
LTU,Numeracy,2018,481.19118829456727,1.9532819668024508,6885,262.4170732855984,7.418368893026052,59,Exact-age 20,Other countries
POL,Numeracy,2018,515.6478746296985,2.602085209761725,5625,256.5170241295199,4.925013458053909,87,Exact-age 20,Other countries
SVK,Numeracy,2018,486.1648542935569,2.555595678385646,5965,257.3566763050489,4.779755429280835,98,Exact-age 20,Other countries
