country,pisa_mean,pisa_se,pisa_V_W,pisa_V_B,n_pisa,subject,pisa_year,source,cohort_label,piaac_year,piaac_mean,piaac_se,piaac_V_W,piaac_V_B,n_piaac,age_at_piaac
AUT,484.3925685120003,2.6974721130730397,6.9435021064698175,0.3025942675790108,6802,Literacy,2018,PISA (age 15),PISA 2018,2023,278.29311960588655,1.626273651542195,2.0613972976025776,0.5303351746343701,719,20
BEL,492.86443860383673,2.321973322555881,5.272236446377151,0.10847605844004228,8475,Literacy,2018,PISA (age 15),PISA 2018,2023,282.7977952927679,2.3418803936446495,4.3223917081751555,1.0563746090564208,363,20
CAN,520.0855209265167,1.7997161634454009,3.105604472916708,0.12124890549993145,22653,Literacy,2018,PISA (age 15),PISA 2018,2023,278.3271350137459,1.4280546503008316,1.3813785670920953,0.5981468337761222,1376,20
CHL,452.27255409198216,2.6437662224560827,6.861256902014031,0.11658448816879433,7621,Literacy,2018,PISA (age 15),PISA 2018,2023,241.42990927288432,1.9521441467481802,2.8497878594773454,0.8737081001871224,434,20
CZE,490.2188150263704,2.5478509475994575,6.3958263136509235,0.08701648866593531,7019,Literacy,2018,PISA (age 15),PISA 2018,2023,281.05537887856156,1.8074920506689705,2.5203266687166885,0.678818949558938,468,20
DEU,498.27210148034305,3.0263137730144947,8.905892866548298,0.2297110783535724,5451,Literacy,2018,PISA (age 15),PISA 2018,2023,281.329958923758,1.477173230497667,2.0020391017553507,0.1636378646759664,735,20
DNK,501.12993377404615,1.795457545132672,3.0421751779206003,0.16499328950294612,7657,Literacy,2018,PISA (age 15),PISA 2018,2023,281.5453339921737,1.5606444696836272,1.6993827186172867,0.6692985837607304,568,20
ESP,476.5374416358191,1.5795105322606116,2.41972641640519,0.06829736828819104,35943,Literacy,2018,PISA (age 15),PISA 2018,2023,260.2500651320841,2.1264733359836074,2.807863671450984,1.5582047065438795,363,20
EST,523.0170184252636,1.8422422127624065,2.990010309639611,0.367132782585561,5316,Literacy,2018,PISA (age 15),PISA 2018,2023,291.5392622323601,1.2133271562586476,1.1715682372645684,0.2732677735001165,878,20
FIN,520.0787483166843,2.307101994485495,5.094614386307259,0.20736838786517406,5649,Literacy,2018,PISA (age 15),PISA 2018,2023,309.6459832170268,2.3859968534244462,5.157704769490042,0.4866147409648323,261,20
FRA,492.6064813345496,2.320978569978502,5.196058803448444,0.17352974441000643,6308,Literacy,2018,PISA (age 15),PISA 2018,2023,270.63372783960097,0.5035310126136652,0.02905754627569022,0.2040781221709571,1064,20
GBR,503.9281092060545,2.5825911706247995,6.4636412686965805,0.187396259902356,13818,Literacy,2018,PISA (age 15),PISA 2018,2023,286.11083948460737,2.3407818898272605,4.690355549375847,0.7171857330613043,266,20
HUN,475.9866722450345,2.250962090530092,4.9045817131956,0.1474987452800036,5132,Literacy,2018,PISA (age 15),PISA 2018,2023,254.96786341838572,1.8313214350685025,2.606824845161487,0.6790121394362479,689,20
IRL,518.0784591193941,2.2444778003887893,4.790062972195105,0.2251069311299928,5577,Literacy,2018,PISA (age 15),PISA 2018,2023,283.79118017303995,2.6265706567996556,5.011453901005783,1.715835921959265,231,20
ISR,470.41517797925883,3.670985340669069,13.322120021384164,0.14001213638457768,6623,Literacy,2018,PISA (age 15),PISA 2018,2023,252.88529190809413,1.9155378409441457,2.7640965715203873,0.8228987714259747,820,20
ITA,476.2846796926638,2.4389103254626896,5.89759776323516,0.046078011284874716,11785,Literacy,2018,PISA (age 15),PISA 2018,2023,266.6187038075744,2.2747337094676374,3.3792433257608137,1.6319728392978032,712,20
JPN,503.85604130917426,2.6709734574949144,6.975944112807874,0.14377736166769292,6109,Literacy,2018,PISA (age 15),PISA 2018,2023,300.1490745175715,1.5879617552453593,1.8516078381020284,0.609104270927176,668,20
KOR,514.0522879582596,2.9405429951509627,8.332732544965745,0.28550960124150093,6650,Literacy,2018,PISA (age 15),PISA 2018,2023,276.10458365943043,1.6911539554195785,2.7532037230706745,0.09708907078237398,604,20
LTU,475.87347960821717,1.5182764468579313,2.158996788396111,0.13287870971584878,6885,Literacy,2018,PISA (age 15),PISA 2018,2023,252.88923810140074,3.1297911804756238,8.867384922716392,0.8438253733332799,382,20
NZL,505.72728344382875,2.043143139954593,4.06283059807039,0.10145753843011295,6173,Literacy,2018,PISA (age 15),PISA 2018,2023,253.61822488694486,2.6151959155001894,6.048002718033881,0.7193154167409032,1260,20
POL,511.85569535773743,2.7024579790266285,7.087355937127366,0.19629381025211315,5625,Literacy,2018,PISA (age 15),PISA 2018,2023,247.79003053304868,2.481831960627951,4.0043942716336804,1.9591778265097273,423,20
SGP,549.4647077944618,1.5872142620014924,2.1426428326276135,0.34236934624848075,6676,Literacy,2018,PISA (age 15),PISA 2018,2023,284.51868151587524,1.2608624208722674,1.1926437469993338,0.36102754306231,755,20
SVK,457.9839670407436,2.234129167776913,4.742916477279895,0.22583332821060553,5965,Literacy,2018,PISA (age 15),PISA 2018,2023,254.01708444223254,1.9641389975475536,3.4136087417734915,0.40384841810328825,453,20
USA,505.35277105006486,3.568673190673882,12.559489464185948,0.15994443422596125,4838,Literacy,2018,PISA (age 15),PISA 2018,2023,261.22931059181,1.7160101456822445,1.6690236825490385,1.1596973977594178,591,20
AUT,498.94231379959564,2.970998660321907,7.24681116814329,1.4363835195375243,6802,Numeracy,2018,PISA (age 15),PISA 2018,2023,283.0529640779914,1.6246244514436545,2.0432268752677114,0.541979757237167,719,20
BEL,508.07030635646555,2.2626619794679996,4.469596949760794,0.5909475305175029,8475,Numeracy,2018,PISA (age 15),PISA 2018,2023,285.97309396164906,2.481875220411777,4.998090026204161,1.0560132577180399,363,20
CAN,512.0148855430816,2.356553873477725,4.088688022432718,1.3315073965183202,22653,Numeracy,2018,PISA (age 15),PISA 2018,2023,273.90903688059893,1.537139408390626,1.8777607067357933,0.44094259462880925,1376,20
CHL,417.40655623356605,2.4158875647102427,5.261148623413753,0.5230582744616679,7621,Numeracy,2018,PISA (age 15),PISA 2018,2023,232.34185913786038,2.1829130029976525,3.191210452310992,1.4308170239502143,434,20
