country,pisa_mean,pisa_se,pisa_V_W,pisa_V_B,n_pisa,subject,pisa_year,source,cohort_label,piaac_year,piaac_mean,piaac_se,piaac_V_W,piaac_V_B,n_piaac,age_at_piaac
BEL,508.6178763210389,2.2540626696340027,4.878725592598958,0.1683941050321742,8597,Literacy,2012,PISA (age 15),PISA 2012,2023,290.5043835361781,2.5027271754463762,4.6023094094809895,1.510303550215279,293,26
CHL,441.3981633890751,2.9021027690354297,8.250174787169358,0.1433547457281262,6856,Literacy,2012,PISA (age 15),PISA 2012,2023,243.96396728515995,1.4319570410808142,1.3600005514510929,0.627727650954389,533,26
CZE,492.88973821147175,2.870684104566256,7.654281342616476,0.4887882379940751,5327,Literacy,2012,PISA (age 15),PISA 2012,2023,277.4085343869732,3.003141610447039,7.369709485083072,1.4992273157412401,388,26
ESP,487.9391815977821,1.9090081215434371,3.561110755845142,0.06933437689471741,25313,Literacy,2012,PISA (age 15),PISA 2012,2023,261.52684282759026,2.152628021982133,3.6178713657510415,0.923578213883335,454,26
FIN,524.0216696935004,2.381652356086501,5.444991395539311,0.1893971247608923,8829,Literacy,2012,PISA (age 15),PISA 2012,2023,315.9617808578821,2.7695181639747655,7.16741393200029,0.4571062987144246,300,26
GBR,499.3231151303491,3.499978173250804,12.088142620559212,0.13475382722735282,12659,Literacy,2012,PISA (age 15),PISA 2012,2023,287.35592799944203,2.215071695969653,3.4125235757554684,1.3581991295730966,403,26
IRL,523.1732102409397,2.550365553540954,6.33886730637778,0.13791429192539856,5016,Literacy,2012,PISA (age 15),PISA 2012,2023,276.04706511067644,2.543961905855042,4.781658569239596,1.5364396447291115,222,26
ISR,485.8032124440424,5.006797924589938,24.513015075500643,0.46250865181455164,5055,Literacy,2012,PISA (age 15),PISA 2012,2023,255.50690099652462,1.9235551702697498,2.405385266441992,1.1769811151177214,784,26
ITA,489.75440328485854,1.9715338853233,3.8274101855160314,0.049613062884962936,31073,Literacy,2012,PISA (age 15),PISA 2012,2023,249.0098540641825,2.615909179521059,5.597181510460211,1.1325448409475736,659,26
LTU,477.3066115499691,2.4811890022444087,6.0986961601400855,0.048002253932099254,4618,Literacy,2012,PISA (age 15),PISA 2012,2023,255.43736484795932,1.973424141330901,3.0126226952991675,0.8016183148076695,476,26
POL,518.1868805486454,3.1363869202129537,9.653320082260397,0.15300235918541705,4607,Literacy,2012,PISA (age 15),PISA 2012,2023,244.14034301193908,1.9041890962864265,2.790963793592469,0.7590657462033168,435,26
SVK,462.7670327701676,4.171027419049559,16.897910767728355,0.4162991356123926,4678,Literacy,2012,PISA (age 15),PISA 2012,2023,252.3620865858905,2.330580694321015,3.205574597165736,2.0236652505237154,420,26
BEL,514.5292447273567,2.1448913334073447,4.355664011152097,0.2040790174782,8597,Numeracy,2012,PISA (age 15),PISA 2012,2023,293.05898189760455,2.783310006845266,5.842365338705946,1.7313175049991358,293,26
CHL,422.6323554520202,3.0672575011020284,9.159141678243564,0.20743908318591286,6856,Numeracy,2012,PISA (age 15),PISA 2012,2023,239.6261234740791,1.6526369981523041,1.3228327689285124,1.2803420715757696,533,26
CZE,498.9578823176692,2.8524695805215683,7.5495709181082615,0.4891764914105251,5327,Numeracy,2012,PISA (age 15),PISA 2012,2023,278.55042982823863,2.50188636692537,5.5193649532182505,0.6727913088988867,388,26
ESP,484.31929780195276,1.896054640413198,3.4641672099699066,0.10904665788542862,25313,Numeracy,2012,PISA (age 15),PISA 2012,2023,260.2300907727496,2.552522902099454,4.769868783650461,1.5868221655379615,454,26
FIN,518.7503352829682,1.9407497581486262,3.6310198132445235,0.1129081754245229,8829,Numeracy,2012,PISA (age 15),PISA 2012,2023,306.7562506169661,2.9217240568528995,6.451739410539009,1.8952109580490502,300,26
GBR,493.93423089630704,3.296484832488257,10.677405204756937,0.15783920505682997,12659,Numeracy,2012,PISA (age 15),PISA 2012,2023,280.288884492597,2.2950328947449576,4.383681495650242,0.8031768111919799,403,26
IRL,501.4974601966522,2.2475975047365218,4.908338236576345,0.11946358893457815,5016,Numeracy,2012,PISA (age 15),PISA 2012,2023,271.03949661511876,2.7764040120301687,6.5023989257478085,1.096382102063099,222,26
ISR,466.4814301493088,4.682107957194172,21.74276402681213,0.14947574667404576,5055,Numeracy,2012,PISA (age 15),PISA 2012,2023,257.1835345668312,2.416105204822162,2.9950590164099005,2.584095767598945,784,26
ITA,485.3211810125683,2.0252223455177494,4.030921470591264,0.0588367318276254,31073,Numeracy,2012,PISA (age 15),PISA 2012,2023,244.43176138343154,2.7898836390232478,6.332447108848198,1.3190941913103655,659,26
LTU,478.82327743335765,2.640951394904416,6.791589051725859,0.15252934876810212,4618,Numeracy,2012,PISA (age 15),PISA 2012,2023,257.94205940935865,1.9938890115967944,3.3596321022813163,0.5599648075319321,476,26
POL,517.5010968179632,3.6173167045998063,13.045180008429687,0.033166777455928734,4607,Numeracy,2012,PISA (age 15),PISA 2012,2023,247.5935157328865,2.220567737749723,3.3918052539397863,1.3991962036319423,435,26
SVK,481.6447440063327,3.4260598380858536,11.469771848267676,0.22342847156432571,4678,Numeracy,2012,PISA (age 15),PISA 2012,2023,258.6618263818766,2.371782928556476,4.834048687171753,0.7193687027456193,420,26
