country,country_name,oecd_name,local_year_r1,local_year_r2,domain,local_rate_r1,local_rate_r2,local_change_pp,oecd_year_r1,oecd_rate_r1,oecd_se_r1,oecd_year_r2,oecd_rate_r2,oecd_se_r2,oecd_change_pp,oecd_change_se,rate_r1_diff_pp,rate_r2_diff_pp,change_diff_pp,sign_mismatch,magnitude_flag,year_note
USA,United States,United States,2014,2023,literacy,18.07196913587488,26.62820494334494,8.556235807470062,2012/15,17.60557855,0.613887661,2023,27.01789518,1.142608911,9.41231663,2.207331428,0.4663905858748798,-0.38969023665505986,-0.8560808225299379,FALSE,FALSE,local r1 year 2014; OECD r1 year 2012/15
LTU,Lithuania,Lithuania,2012,2023,literacy,15.260178529243134,36.75633413396102,21.496155604717885,2015,15.75665219,0.804398093,2023,37.68454598,1.065289822,21.9278938,3.127993147,-0.49647366075686605,-0.9282118460389839,-0.4317381952821151,FALSE,FALSE,local r1 year 2012; OECD r1 year 2015
SVK,Slovakia,Slovak Republic,2012,2023,literacy,11.348289181148937,22.705872761292703,11.357583580143768,2012,11.65839629,0.573964249,2023,23.37236772,1.142908452,11.71397143,2.758327964,-0.31010710885106363,-0.6664949587072968,-0.3563878498562332,FALSE,FALSE,
GBR,United Kingdom,England (UK),2012,2023,literacy,16.169386686778054,17.18982674394114,1.0204400571630856,2012,16.59617467,0.777527105,2023,17.26910106,0.803237779,0.672926395,2.017956552,-0.42678798322194567,-0.0792743160588607,0.34751366216308566,FALSE,FALSE,
KOR,Korea,Korea,2012,2023,literacy,12.502913298474896,29.69098239084314,17.188069092368245,2012,12.89900776,0.527318472,2023,30.39546375,0.83367554,17.49645599,2.479745873,-0.3960944615251041,-0.7044813591568619,-0.3083868976317561,FALSE,FALSE,
POL,Poland,Poland*,2012,2023,literacy,18.25496460648195,38.731748303983146,20.4767836975012,2012,18.76871112,0.620675283,2023,39.48599787,1.144027935,20.71728676,2.833252719,-0.5137465135180506,-0.7542495660168527,-0.24050306249879938,FALSE,FALSE,
ITA,Italy,Italy,2012,2023,literacy,27.09930625888522,34.02382061305564,6.9245143541704195,2012,27.8643313,1.100593467,2023,34.58003311,1.332838886,6.715701808,2.889505401,-0.7650250411147788,-0.5562124969443616,0.2088125461704191,FALSE,FALSE,
DEU,Germany,Germany,2012,2023,literacy,17.222905610215328,20.03101740049382,2.808111790278492,2012,17.78139036,0.787846776,2023,20.40458468,0.69905001,2.623194324,1.999468306,-0.5584847497846717,-0.3735672795061795,0.18491746627849182,FALSE,FALSE,
NZL,New Zealand,New Zealand,2014,2023,literacy,11.72674482747108,24.998146335702682,13.2714015082316,2015,12.06525004,0.558775468,2023,25.49777053,1.247890504,13.43252049,2.262712895,-0.3385052125289203,-0.4996241942973185,-0.1611189817684,FALSE,FALSE,local r1 year 2014; OECD r1 year 2015
DNK,Denmark,Denmark,2012,2023,literacy,15.350027074404673,13.205508477433032,-2.1445185969716425,2012,15.76085,0.562634536,2023,13.49437022,0.628108888,-2.266479774,1.694126993,-0.4108229255953262,-0.2888617425669686,0.12196117702835751,FALSE,FALSE,
BEL,Belgium,Flemish Region (Belgium),2012,2023,literacy,14.361692329856723,15.920229454564597,1.5585371247078732,2012,14.78988567,0.579858493,2023,16.25302698,0.684240139,1.46314131,1.751639723,-0.42819334014327737,-0.33279752543540475,0.09539581470787328,FALSE,FALSE,
