country,country_name,survey_year_r1,survey_year_r2,pop_r1,pop_r2,lit_rate_r1,lit_rate_r2,num_rate_r1,num_rate_r2,lit_pop_r1,lit_pop_r2,num_pop_r1,num_pop_r2,lit_change_pp,num_change_pp,lit_change_millions,num_change_millions
LTU,Lithuania,2012,2023,1968300.9999999998,1842788.9969659864,0.15260178529243137,0.36838327790646747,0.17719748700384447,0.3153850227014514,300366.24659287796,678852.6511923014,348777.99086715403,581188.0496421026,21.57814926140361,13.818753569760695,0.37848640459942345,0.23241005877494852
POL,Poland,2012,2023,26741986.999999918,23325019.997477006,0.1825496460648195,0.38716500541142546,0.2287269808275945,0.37238151535729025,4881740.261919989,9030631.493544793,6116613.947840762,8685806.292399585,20.461535934660596,14.365453452969575,4.148891231624804,2.569192344558823
KOR,Korea,2012,2023,34602008.000000045,36408533.99686307,0.12502913298474896,0.30097400576830785,0.18395705787191524,0.26962176920555697,4326259.059771353,10958022.321187498,6365283.588140482,9816533.350414889,17.59448727835589,8.566471133364173,6.631763261416145,3.451249762274407
HUN,Hungary,2014,2023,6449269.999999938,6196825.997736018,0.18154199828245252,0.319241482305741,0.17362614563420473,0.2829278012003633,1170813.3632630613,1978283.9171079989,1119761.8922542967,1753254.3539606992,13.769948402328849,10.93016555661586,0.8074705538449376,0.6334924617064025
AUT,Austria,2012,2014,5647340.999999995,5970497.000000007,0.1507360509224493,0.2843796647650838,0.14150190186423442,0.22168478948808895,851257.8805524351,1697887.9353409407,799109.4919758668,1323568.3705842684,13.364361384263452,8.018288762385453,0.8466300547885056,0.5244588786084016
NZL,New Zealand,2014,2023,2749718.9999999977,3308878.2614679905,0.1172674482747108,0.2503002898511479,0.18845261662710427,0.2759513185745333,322452.53060248925,828213.1879276003,518191.7405392641,913089.3192547014,13.303284157643708,8.749870194742904,0.5057606573251111,0.3948975787154373
CZE,Czechia,2012,2023,7395110.999999993,6824543.422173997,0.11448617274255385,0.2429250737685223,0.12555835744739635,0.20751203057519257,846637.9553963593,1657852.7142681018,928517.9903011718,1416174.8632838998,12.843890102596845,8.195367312779622,0.8112147588717425,0.4876568729827281
SVK,Slovakia,2012,2023,3870992.9999999697,3632736.000000006,0.11348289181148935,0.23032488985709684,0.134134223554448,0.21163198613184667,439291.4798220292,836709.519079912,519232.6404396993,768803.1347726614,11.68419980456075,7.749776257739866,0.3974180392578828,0.24957049433296208
USA,United States,2012,2023,203144373.9999997,213306658.99807623,0.17797187443015883,0.2724162711299419,0.2941731165063668,0.33691168544151795,36153985.02072117,58108204.65144199,59759613.60031486,71865505.99894099,9.444439669978305,4.2738568935151156,21.954219630720825,12.105892398626127
ISR,Israel,2014,2023,4821573.957999988,5629393.036864011,0.2721347143112223,0.3559461783963209,0.31161680893127536,0.334457938764631,1312117.6515907564,2003760.9381626039,1502483.4908180954,1882795.1916055032,8.38114640850986,2.2841129833355622,0.6916432865718475,0.38031170078740784
ITA,Italy,2012,2023,39369829.999977686,37403372.99757592,0.2709930625888522,0.34175185772685046,0.31225364847823583,0.34640022978568247,10668950.805296423,12782672.207171885,12293373.057460936,12956537.001119887,7.075879513799826,3.4146581307446633,2.113721401875462,0.6631639436589517
EST,Estonia,2012,2023,896162.9999999881,860259.9965509946,0.12637935979243045,0.19620994911599898,0.13918750387394735,0.1548964050786258,113256.50620966234,168791.5701498001,124734.69103418663,133251.18089870008,6.983058932356853,1.5708901204678438,0.055535063940137755,0.008516489864513452
FRA,France,2012,2023,40049569.00000017,39750803.99676898,0.21187984800968396,0.27449931883989603,0.2769201125485804,0.27283398782750234,8485696.592573388,10911568.620451301,11090531.155002184,10845370.3737879,6.261947083021208,-0.4086124721078055,2.425872027877914,-0.24516078121428378
JPN,Japan,2012,2023,81059238.00007777,74680130.99745393,0.04703200274493009,0.10183075342658637,0.07899252006720488,0.09652497971655621,3812378.3041215995,7604734.005466901,6403073.484353479,7208498.129759002,5.479875068165628,1.7532459649351337,3.792355701345301,0.8054246454055225
DEU,Germany,2012,2023,53657540.000000015,53185999.997630954,0.17222905610215328,0.2208148863892533,0.18247529759958578,0.19978495802050739,9241387.466963537,11744260.546975706,9791175.57996168,10625762.776805406,4.858583028710004,1.7309660420921609,2.5028730800121686,0.8345871968437265
BEL,Belgium,2012,2023,4138041.9999999963,4200406.000000006,0.14361692329856723,0.1843676550668131,0.13718504574665386,0.1744045209281064,594292.8605202492,774419.0045485732,567677.4810715745,732569.7961335446,4.075073176824587,3.721947518145255,0.18012614402832394,0.16489231506197013
IRL,Ireland,2012,2023,2994368.0000000056,3483163.998062996,0.17001503949711178,0.20595347379079293,0.24710470102546084,0.2414766194736572,509087.59378888854,717369.7251841008,739922.4094002085,841102.6673246006,3.5938434293681154,-0.5628081551803638,0.20828213139521226,0.10118025792439211
ESP,Spain,2012,2023,31091563.000001352,31449243.99703902,0.2703124628740261,0.30562380407036965,0.3021320834203637,0.29658588527595714,8404436.96913331,9611637.585512303,9393758.705985902,9327401.8721214,3.5311341196343546,-0.5546198144406544,1.2072006163789928,-0.06635683386450261
SGP,Singapore,2014,2023,2826276.9999999786,2813281.9974700003,0.25917143300186324,0.2922513716294698,0.2767062915715964,0.21452200545090816,732490.2601502015,822185.5225411021,782048.6276240908,603510.8959962012,3.3079938627606555,-6.218428612068822,0.08969526239090064,-0.17853773162788955
CAN,Canada,2012,2023,23381066.838140756,24972910.99957749,0.16123633937116233,0.18859575762354303,0.2216536740861026,0.19620703171634002,3769877.6275742925,4709785.070030628,5182499.368726633,4899860.740543437,2.7359418252380694,-2.5446642369762573,0.9399074424563353,-0.28263862818319535
DNK,Denmark,2012,2023,3629087.0000001253,3729946.997452014,0.15350027074404674,0.17593460843657516,0.13920568783538087,0.1638047497630587,557065.8370537196,656226.7644858994,505189.5520494563,610983.0345470993,2.2434337692528423,2.4599061927677828,0.0991609274321798,0.10579348249764298
FIN,Finland,2012,2023,3496908.999999985,3374324.9978599926,0.10347200259528404,0.12173334493959835,0.12473503398761143,0.1194582711400477,361832.1771234706,410767.86890279996,436187.0629665824,403091.0305089999,1.8261342344314313,-0.5276762847563732,0.04893569177932938,-0.03309603245758254
GBR,United Kingdom,2012,2023,35422409.000000075,36181692.997532964,0.16169386686778053,0.1718982674394114,0.2392958147459562,0.20465541064710524,5727586.284982083,6219570.3393006,8476434.22191951,7404779.2383176,1.0204400571630856,-3.4640404098850968,0.4919840543185165,-1.07165498360191
CHL,Chile,2014,2023,12276284.891942196,13511938.998088017,0.5281666023377755,0.5274478504024159,0.615379501176303,0.5501207242978989,6483923.6807076745,7126843.179310098,7554574.073101574,7433197.668297207,-0.07187519353595295,-6.525877687840409,0.6429194986024238,-0.12137640480436664
